year,Average Temperature (C),Average Temperature (F)
1875,14.42,58.25
1876,13.75,57.0
1877,14.17,58.0
1878,13.75,56.92
1879,13.5,56.75
1880,12.42,54.75
1881,13.83,57.08
1882,12.92,55.58
1883,13.42,56.58
1884,13.17,56.17
1885,14.67,58.5
1886,13.92,57.33
1887,13.83,57.08
1888,14.0,57.75
1889,14.17,58.0
1890,13.42,56.67
1891,13.5,56.75
1892,13.42,56.42
1893,12.83,55.58
1894,13.08,56.0
1895,13.25,56.42
1896,13.67,57.33
1897,13.25,56.5
1898,13.5,56.58
1899,13.5,56.75
1900,14.08,57.58
1901,13.75,57.17
1902,13.33,56.25
1903,13.42,56.5
1904,14.08,57.58
1905,13.67,56.92
1906,14.0,57.42
1907,13.42,56.92
1908,13.33,56.5
1909,13.33,56.25
1910,14.0,57.75
1911,12.83,55.58
1912,12.83,55.58
1913,13.25,56.17
1914,13.75,57.33
1915,13.42,56.75
1916,12.92,55.58
1917,13.42,56.42
1918,13.5,56.67
1919,13.25,56.08
1920,13.17,56.0
1921,13.83,57.17
1922,13.08,55.83
1923,13.17,56.25
1924,13.67,57.0
1925,13.75,57.08
1926,14.5,58.67
1927,13.58,56.75
1928,14.0,57.5
1929,13.58,57.17
1930,13.5,56.83
1931,14.42,58.17
1932,13.42,56.83
1933,13.25,56.5
1934,15.0,59.58
1935,13.5,56.75
1936,14.42,58.42
1937,13.75,56.92
1938,13.75,57.17
1939,14.42,58.25
1940,14.67,58.67
1941,13.75,57.25
1942,13.58,57.0
1943,14.08,57.92
1944,13.33,56.25
1945,13.58,57.08
1946,13.58,56.75
1947,13.92,57.42
1948,13.0,55.67
1949,13.42,56.25
1950,14.25,58.08
1951,13.67,57.08
1952,13.58,56.67
1953,13.75,57.25
1954,14.0,57.58
1955,13.17,56.08
1956,13.67,56.83
1957,13.67,57.0
1958,14.75,58.83
1959,14.58,58.83
1960,14.33,57.83
1961,14.08,57.83
1962,13.75,57.17
1963,13.5,56.92
1964,13.42,56.42
1965,13.42,56.58
1966,14.08,57.83
1967,13.92,57.33
1968,14.0,57.58
1969,13.75,57.42
1970,14.0,57.58
1971,13.25,56.08
1972,13.75,57.25
1973,13.67,57.08
1974,13.83,57.5
1975,13.33,56.17
1976,13.83,57.33
1977,14.0,57.83
1978,14.0,57.5
1979,14.08,57.67
1980,14.08,58.0
1981,14.92,59.08
1982,13.08,56.25
1983,13.83,57.42
1984,14.17,57.92
1985,13.67,57.08
1986,14.58,58.58
1987,14.25,58.0
1988,14.5,58.5
1989,14.08,57.83
1990,14.08,57.58
1991,14.0,57.67
1992,14.67,59.08
1993,14.0,57.5
1994,14.0,57.75
1995,14.58,58.67
1996,15.0,59.42
1997,14.58,58.92
1998,13.5,56.67
1999,14.25,57.75
2000,14.42,58.58
2001,14.58,58.75
2002,14.5,58.58
2003,14.83,59.33
2004,14.58,58.58
2005,14.5,58.25
2006,14.42,58.5
2007,14.5,58.67
2008,14.5,58.75
2009,14.5,58.33
2010,13.83,57.5
2011,13.92,57.25
2012,14.75,59.0
