year,Average Temperature (C),Average Temperature (F)
1875,8.5,47.67
1876,9.92,50.33
1877,10.75,51.83
1878,11.5,52.83
1879,10.75,51.17
1880,10.67,51.5
1881,10.83,51.58
1882,10.92,51.75
1883,9.42,48.92
1884,10.0,50.0
1885,9.0,48.0
1886,10.0,49.75
1887,10.58,50.75
1888,9.25,48.75
1889,10.42,50.75
1890,10.75,51.5
1891,10.33,50.83
1892,9.58,49.25
1893,9.58,49.08
1894,11.08,52.08
1895,9.83,49.58
1896,11.08,51.92
1897,10.58,51.25
1898,10.67,51.17
1899,10.33,50.67
1900,11.25,52.08
1901,10.5,50.83
1902,10.33,50.75
1903,10.0,50.17
1904,9.42,48.83
1905,10.17,50.08
1906,10.75,51.25
1907,10.25,50.33
1908,11.17,52.25
1909,10.33,50.75
1910,10.5,51.0
1911,11.25,52.67
1912,9.5,49.25
1913,11.33,52.58
1914,10.92,51.92
1915,10.42,50.75
1916,10.67,51.08
1917,8.92,48.0
1918,10.58,51.25
1919,11.0,51.83
1920,10.33,50.58
1921,12.42,54.83
1922,11.5,52.83
1923,10.75,51.5
1924,9.42,49.17
1925,10.83,51.42
1926,10.0,50.08
1927,11.08,51.83
1928,10.42,51.25
1929,9.92,49.67
1930,11.33,52.42
1931,12.33,54.67
1932,10.92,51.83
1933,11.75,53.33
1934,11.58,52.92
1935,10.33,50.83
1936,11.0,51.58
1937,10.42,50.33
1938,12.0,53.75
1939,11.5,53.08
1940,10.0,50.33
1941,11.75,53.25
1942,10.92,51.5
1943,10.5,50.83
1944,11.08,52.25
1945,10.42,50.67
1946,11.75,53.75
1947,10.67,51.17
1948,10.92,51.67
1949,11.5,52.58
1950,9.92,49.92
1951,10.0,49.92
1952,11.25,52.75
1953,11.92,53.83
1954,12.08,53.67
1955,11.42,52.5
1956,11.25,52.5
1957,10.92,51.83
1958,10.33,50.25
1959,11.0,51.92
1960,10.42,50.5
1961,10.75,51.17
1962,10.67,50.92
1963,10.33,50.83
1964,11.5,52.67
1965,11.17,52.08
1966,10.33,50.75
1967,10.42,50.67
1968,10.67,51.25
1969,10.25,50.5
1970,10.67,51.33
1971,11.33,52.33
1972,10.33,50.42
1973,11.75,53.25
1974,10.92,51.75
1975,11.17,52.0
1976,10.25,50.67
1977,11.0,51.75
1978,9.92,49.58
1979,9.75,49.58
1980,10.83,51.42
1981,11.0,52.0
1982,10.42,50.92
1983,11.17,52.0
1984,11.0,51.83
1985,10.33,50.92
1986,11.58,52.92
1987,12.17,54.25
1988,11.25,52.33
1989,10.08,50.42
1990,11.83,53.58
1991,12.0,53.75
1992,11.08,52.08
1993,10.5,50.92
1994,11.08,52.08
1995,10.92,51.67
1996,10.17,50.25
1997,10.5,51.33
1998,12.75,55.33
1999,11.92,53.75
2000,11.33,52.33
2001,11.92,53.5
2002,11.75,53.25
2003,11.08,51.67
2004,11.5,52.67
2005,12.17,53.83
2006,12.33,54.25
2007,12.25,53.83
2008,10.67,50.92
2009,10.67,51.42
2010,11.58,53.0
2011,12.0,53.17
2012,13.0,55.83
