,Date,Average Temperature (C),State,Country,year,Average Temperature (F)
171856,1875-01-01 00:01:00,-9,Illinois,United States,1875,15
171857,1875-01-01 00:02:00,-8,Illinois,United States,1875,17
171858,1875-01-01 00:03:00,1,Illinois,United States,1875,34
171859,1875-01-01 00:04:00,8,Illinois,United States,1875,47
171860,1875-01-01 00:05:00,16,Illinois,United States,1875,61
171861,1875-01-01 00:06:00,20,Illinois,United States,1875,69
171862,1875-01-01 00:07:00,23,Illinois,United States,1875,74
171863,1875-01-01 00:08:00,21,Illinois,United States,1875,70
171864,1875-01-01 00:09:00,17,Illinois,United States,1875,62
171865,1875-01-01 00:10:00,9,Illinois,United States,1875,49
171866,1875-01-01 00:11:00,2,Illinois,United States,1875,37
171867,1875-01-01 00:12:00,2,Illinois,United States,1875,37
171868,1876-01-01 00:01:00,0,Illinois,United States,1876,33
171869,1876-01-01 00:02:00,0,Illinois,United States,1876,33
171870,1876-01-01 00:03:00,1,Illinois,United States,1876,35
171871,1876-01-01 00:04:00,10,Illinois,United States,1876,51
171872,1876-01-01 00:05:00,17,Illinois,United States,1876,63
171873,1876-01-01 00:06:00,21,Illinois,United States,1876,70
171874,1876-01-01 00:07:00,24,Illinois,United States,1876,76
171875,1876-01-01 00:08:00,23,Illinois,United States,1876,74
171876,1876-01-01 00:09:00,17,Illinois,United States,1876,63
171877,1876-01-01 00:10:00,10,Illinois,United States,1876,50
171878,1876-01-01 00:11:00,3,Illinois,United States,1876,38
171879,1876-01-01 00:12:00,-7,Illinois,United States,1876,18
171880,1877-01-01 00:01:00,-5,Illinois,United States,1877,22
171881,1877-01-01 00:02:00,2,Illinois,United States,1877,36
171882,1877-01-01 00:03:00,0,Illinois,United States,1877,33
171883,1877-01-01 00:04:00,10,Illinois,United States,1877,50
171884,1877-01-01 00:05:00,16,Illinois,United States,1877,61
171885,1877-01-01 00:06:00,21,Illinois,United States,1877,70
171886,1877-01-01 00:07:00,23,Illinois,United States,1877,75
171887,1877-01-01 00:08:00,22,Illinois,United States,1877,73
171888,1877-01-01 00:09:00,19,Illinois,United States,1877,66
171889,1877-01-01 00:10:00,13,Illinois,United States,1877,55
171890,1877-01-01 00:11:00,3,Illinois,United States,1877,39
171891,1877-01-01 00:12:00,5,Illinois,United States,1877,42
171892,1878-01-01 00:01:00,0,Illinois,United States,1878,30
171893,1878-01-01 00:02:00,2,Illinois,United States,1878,36
171894,1878-01-01 00:03:00,9,Illinois,United States,1878,48
171895,1878-01-01 00:04:00,13,Illinois,United States,1878,56
171896,1878-01-01 00:05:00,15,Illinois,United States,1878,60
171897,1878-01-01 00:06:00,20,Illinois,United States,1878,69
171898,1878-01-01 00:07:00,25,Illinois,United States,1878,78
171899,1878-01-01 00:08:00,24,Illinois,United States,1878,75
171900,1878-01-01 00:09:00,19,Illinois,United States,1878,66
171901,1878-01-01 00:10:00,11,Illinois,United States,1878,52
171902,1878-01-01 00:11:00,5,Illinois,United States,1878,42
171903,1878-01-01 00:12:00,-5,Illinois,United States,1878,22
171904,1879-01-01 00:01:00,-5,Illinois,United States,1879,21
171905,1879-01-01 00:02:00,-2,Illinois,United States,1879,27
171906,1879-01-01 00:03:00,5,Illinois,United States,1879,41
171907,1879-01-01 00:04:00,10,Illinois,United States,1879,50
