State,year,Total (C),Total (F),Average Temperature (F),Average Temperature (C)
California,1875,173,699,58.25,14.42
California,1876,165,684,57.0,13.75
California,1877,170,696,58.0,14.17
California,1878,165,683,56.92,13.75
California,1879,162,681,56.75,13.5
California,1880,149,657,54.75,12.42
California,1881,166,685,57.08,13.83
California,1882,155,667,55.58,12.92
California,1883,161,679,56.58,13.42
California,1884,158,674,56.17,13.17
California,1885,176,702,58.5,14.67
California,1886,167,688,57.33,13.92
California,1887,166,685,57.08,13.83
California,1888,168,693,57.75,14.0
California,1889,170,696,58.0,14.17
California,1890,161,680,56.67,13.42
California,1891,162,681,56.75,13.5
California,1892,161,677,56.42,13.42
California,1893,154,667,55.58,12.83
California,1894,157,672,56.0,13.08
California,1895,159,677,56.42,13.25
California,1896,164,688,57.33,13.67
California,1897,159,678,56.5,13.25
California,1898,162,679,56.58,13.5
California,1899,162,681,56.75,13.5
California,1900,169,691,57.58,14.08
California,1901,165,686,57.17,13.75
California,1902,160,675,56.25,13.33
California,1903,161,678,56.5,13.42
California,1904,169,691,57.58,14.08
California,1905,164,683,56.92,13.67
California,1906,168,689,57.42,14.0
California,1907,161,683,56.92,13.42
California,1908,160,678,56.5,13.33
California,1909,160,675,56.25,13.33
California,1910,168,693,57.75,14.0
California,1911,154,667,55.58,12.83
California,1912,154,667,55.58,12.83
California,1913,159,674,56.17,13.25
California,1914,165,688,57.33,13.75
California,1915,161,681,56.75,13.42
California,1916,155,667,55.58,12.92
California,1917,161,677,56.42,13.42
California,1918,162,680,56.67,13.5
California,1919,159,673,56.08,13.25
California,1920,158,672,56.0,13.17
California,1921,166,686,57.17,13.83
California,1922,157,670,55.83,13.08
California,1923,158,675,56.25,13.17
California,1924,164,684,57.0,13.67
California,1925,165,685,57.08,13.75
California,1926,174,704,58.67,14.5
California,1927,163,681,56.75,13.58
California,1928,168,690,57.5,14.0
California,1929,163,686,57.17,13.58
California,1930,162,682,56.83,13.5
California,1931,173,698,58.17,14.42
California,1932,161,682,56.83,13.42
California,1933,159,678,56.5,13.25
California,1934,180,715,59.58,15.0
California,1935,162,681,56.75,13.5
California,1936,173,701,58.42,14.42
California,1937,165,683,56.92,13.75
California,1938,165,686,57.17,13.75
California,1939,173,699,58.25,14.42
California,1940,176,704,58.67,14.67
California,1941,165,687,57.25,13.75
California,1942,163,684,57.0,13.58
California,1943,169,695,57.92,14.08
California,1944,160,675,56.25,13.33
California,1945,163,685,57.08,13.58
California,1946,163,681,56.75,13.58
California,1947,167,689,57.42,13.92
California,1948,156,668,55.67,13.0
California,1949,161,675,56.25,13.42
California,1950,171,697,58.08,14.25
California,1951,164,685,57.08,13.67
California,1952,163,680,56.67,13.58
California,1953,165,687,57.25,13.75
California,1954,168,691,57.58,14.0
California,1955,158,673,56.08,13.17
California,1956,164,682,56.83,13.67
California,1957,164,684,57.0,13.67
California,1958,177,706,58.83,14.75
California,1959,175,706,58.83,14.58
California,1960,172,694,57.83,14.33
California,1961,169,694,57.83,14.08
California,1962,165,686,57.17,13.75
California,1963,162,683,56.92,13.5
California,1964,161,677,56.42,13.42
California,1965,161,679,56.58,13.42
