,Begin_Date,Begin_Month,Year,Event_Type,Deaths,Damage_Property,State,Total_Disaster
1143,4/28/1996,Apr,1996,Wildfire,0,0,California,1
1144,4/29/1996,Apr,1996,Wildfire,0,0,California,1
1145,5/1/1996,May,1996,Wildfire,0,0,California,1
1146,5/11/1996,May,1996,Wildfire,0,0,California,1
1147,8/14/1996,Aug,1996,Wildfire,0,0,California,1
1148,8/14/1996,Aug,1996,Wildfire,0,0,California,1
1149,10/7/1996,Oct,1996,Wildfire,0,0,California,1
1150,10/18/1996,Oct,1996,Wildfire,0,4500000,California,1
1151,10/21/1996,Oct,1996,Wildfire,0,12300000,California,1
1152,10/21/1996,Oct,1996,Wildfire,0,1500000,California,1
1153,10/21/1996,Oct,1996,Wildfire,0,3000000,California,1
1154,5/16/1997,May,1997,Wildfire,0,37400000,California,1
1155,5/27/1997,May,1997,Wildfire,0,0,California,1
1156,5/29/1997,May,1997,Wildfire,0,0,California,1
1157,6/29/1997,Jun,1997,Wildfire,0,150000,California,1
1158,6/29/1997,Jun,1997,Wildfire,0,0,California,1
1159,7/30/1997,Jul,1997,Wildfire,0,0,California,1
1160,8/1/1997,Aug,1997,Wildfire,0,2000000,California,1
1161,8/5/1997,Aug,1997,Wildfire,0,1750000,California,1
1162,8/6/1997,Aug,1997,Wildfire,0,5000000,California,1
1163,8/8/1997,Aug,1997,Wildfire,0,1900000,California,1
1164,8/19/1997,Aug,1997,Wildfire,0,3000000,California,1
1165,8/19/1997,Aug,1997,Wildfire,0,400000,California,1
1166,9/6/1997,Sep,1997,Wildfire,0,200000,California,1
1167,9/13/1997,Sep,1997,Wildfire,0,0,California,1
1168,9/24/1997,Sep,1997,Wildfire,0,250000,California,1
1169,9/24/1997,Sep,1997,Wildfire,0,940000,California,1
1170,9/24/1997,Sep,1997,Wildfire,0,215000,California,1
1171,9/25/1997,Sep,1997,Wildfire,0,750000,California,1
1172,9/27/1997,Sep,1997,Wildfire,0,300000,California,1
1173,10/13/1997,Oct,1997,Wildfire,0,15000000,California,1
1174,8/31/1998,Aug,1998,Wildfire,0,0,California,1
1175,8/31/1998,Aug,1998,Wildfire,0,1000000,California,1
1176,8/31/1998,Aug,1998,Wildfire,0,0,California,1
1177,8/31/1998,Aug,1998,Wildfire,0,4500000,California,1
1178,8/31/1998,Aug,1998,Wildfire,0,0,California,1
