,Begin_Date,Begin_Month,Year,Event_Type,Deaths,Damage_Property,State,Total_Disaster
0,7/10/1996,Jul,1996,Hurricane (Typhoon),0,0,Florida,1
1,7/10/1996,Jul,1996,Hurricane (Typhoon),2,0,Florida,1
2,7/10/1996,Jul,1996,Hurricane (Typhoon),0,0,Florida,1
3,9/2/1996,Sep,1996,Hurricane (Typhoon),0,0,Florida,1
4,10/7/1996,Oct,1996,Tropical Storm,0,0,Florida,1
5,10/7/1996,Oct,1996,Tropical Storm,0,340000,Florida,1
6,10/7/1996,Oct,1996,Tropical Storm,0,0,Florida,1
7,10/7/1996,Oct,1996,Tropical Storm,0,1200000,Florida,1
8,10/7/1996,Oct,1996,Tropical Storm,0,4900000,Florida,1
9,10/7/1996,Oct,1996,Tropical Storm,0,0,Florida,1
10,10/7/1996,Oct,1996,Tropical Storm,0,25020000,Florida,1
11,10/7/1996,Oct,1996,Tropical Storm,0,3270000,Florida,1
12,10/7/1996,Oct,1996,Tropical Storm,0,3930000,Florida,1
13,10/7/1996,Oct,1996,Tropical Storm,0,45000,Florida,1
14,10/7/1996,Oct,1996,Tropical Storm,0,0,Florida,1
15,10/7/1996,Oct,1996,Tropical Storm,0,910000,Florida,1
16,10/7/1996,Oct,1996,Tropical Storm,0,2680000,Florida,1
17,10/7/1996,Oct,1996,Tropical Storm,0,2300000,Florida,1
18,10/7/1996,Oct,1996,Tropical Storm,0,0,Florida,1
19,10/7/1996,Oct,1996,Tropical Storm,0,0,Florida,1
20,10/7/1996,Oct,1996,Tropical Storm,0,0,Florida,1
21,10/7/1996,Oct,1996,Tropical Storm,0,0,Florida,1
22,10/7/1996,Oct,1996,Tropical Storm,0,0,Florida,1
23,10/7/1996,Oct,1996,Tropical Storm,0,0,Florida,1
24,10/7/1996,Oct,1996,Tropical Storm,0,0,Florida,1
25,10/7/1996,Oct,1996,Tropical Storm,0,0,Florida,1
26,10/7/1996,Oct,1996,Tropical Storm,0,0,Florida,1
27,10/7/1996,Oct,1996,Tropical Storm,0,0,Florida,1
28,10/7/1996,Oct,1996,Tropical Storm,0,0,Florida,1
29,10/7/1996,Oct,1996,Tropical Storm,0,0,Florida,1
30,10/7/1996,Oct,1996,Tropical Storm,0,0,Florida,1
31,10/7/1996,Oct,1996,Tropical Storm,0,0,Florida,1
32,10/7/1996,Oct,1996,Tropical Storm,0,0,Florida,1
33,10/8/1996,Oct,1996,Tropical Storm,0,500000,Florida,1
34,9/1/1998,Sep,1998,Hurricane (Typhoon),0,30000,Florida,1
35,9/1/1998,Sep,1998,Hurricane (Typhoon),0,0,Florida,1
36,9/1/1998,Sep,1998,Hurricane (Typhoon),0,0,Florida,1
37,9/1/1998,Sep,1998,Hurricane (Typhoon),0,0,Florida,1
38,9/1/1998,Sep,1998,Hurricane (Typhoon),0,20000,Florida,1
39,9/1/1998,Sep,1998,Hurricane (Typhoon),0,100000,Florida,1
40,9/2/1998,Sep,1998,Hurricane (Typhoon),0,50000,Florida,1
41,9/2/1998,Sep,1998,Hurricane (Typhoon),0,0,Florida,1
42,9/2/1998,Sep,1998,Hurricane (Typhoon),0,10000,Florida,1
43,9/2/1998,Sep,1998,Hurricane (Typhoon),0,750000,Florida,1
44,9/2/1998,Sep,1998,Hurricane (Typhoon),0,250000,Florida,1
45,9/2/1998,Sep,1998,Hurricane (Typhoon),0,0,Florida,1
46,9/2/1998,Sep,1998,Hurricane (Typhoon),0,0,Florida,1
47,9/2/1998,Sep,1998,Hurricane (Typhoon),0,0,Florida,1
48,9/2/1998,Sep,1998,Hurricane (Typhoon),0,0,Florida,1
49,9/2/1998,Sep,1998,Hurricane (Typhoon),0,0,Florida,1
50,9/2/1998,Sep,1998,Hurricane (Typhoon),0,0,Florida,1
51,9/2/1998,Sep,1998,Hurricane (Typhoon),0,0,Florida,1
52,9/2/1998,Sep,1998,Hurricane (Typhoon),0,0,Florida,1
53,9/2/1998,Sep,1998,Hurricane (Typhoon),0,750000,Florida,1
54,9/2/1998,Sep,1998,Hurricane (Typhoon),0,350000,Florida,1
55,9/2/1998,Sep,1998,Hurricane (Typhoon),0,5000,Florida,1
56,9/2/1998,Sep,1998,Hurricane (Typhoon),0,10000,Florida,1
57,9/2/1998,Sep,1998,Hurricane (Typhoon),0,10000,Florida,1
58,9/2/1998,Sep,1998,Hurricane (Typhoon),0,10000,Florida,1
59,9/2/1998,Sep,1998,Hurricane (Typhoon),0,25000,Florida,1
60,9/2/1998,Sep,1998,Hurricane (Typhoon),0,100000,Florida,1
61,9/2/1998,Sep,1998,Hurricane (Typhoon),0,75000,Florida,1
62,9/2/1998,Sep,1998,Hurricane (Typhoon),0,0,Florida,1
63,9/2/1998,Sep,1998,Hurricane (Typhoon),0,0,Florida,1
64,9/2/1998,Sep,1998,Hurricane (Typhoon),0,50000,Florida,1
65,9/2/1998,Sep,1998,Hurricane (Typhoon),0,1130000,Florida,1
66,9/2/1998,Sep,1998,Hurricane (Typhoon),0,0,Florida,1
67,9/2/1998,Sep,1998,Hurricane (Typhoon),0,500000,Florida,1
68,9/2/1998,Sep,1998,Hurricane (Typhoon),0,0,Florida,1
69,9/2/1998,Sep,1998,Hurricane (Typhoon),0,0,Florida,1
70,9/2/1998,Sep,1998,Hurricane (Typhoon),0,50000,Florida,1
71,9/2/1998,Sep,1998,Hurricane (Typhoon),2,3000000,Florida,1
72,9/24/1998,Sep,1998,Tropical Storm,0,0,Florida,1
73,9/25/1998,Sep,1998,Hurricane (Typhoon),0,0,Florida,1
74,9/25/1998,Sep,1998,Tropical Storm,0,0,Florida,1
75,9/25/1998,Sep,1998,Tropical Storm,0,0,Florida,1
76,9/25/1998,Sep,1998,Tropical Storm,0,0,Florida,1
