,Begin_Date,Begin_Month,Year,Event_Type,Deaths,Damage_Property,State,Total_Disaster
2563,2/26/1996,Feb,1996,Tornado,0,0,Illinois,1
2564,4/18/1996,Apr,1996,Tornado,0,1500000,Illinois,1
2565,4/19/1996,Apr,1996,Tornado,0,0,Illinois,1
2566,4/19/1996,Apr,1996,Tornado,0,0,Illinois,1
2567,4/19/1996,Apr,1996,Tornado,0,0,Illinois,1
2568,4/19/1996,Apr,1996,Tornado,0,0,Illinois,1
2569,4/19/1996,Apr,1996,Tornado,0,0,Illinois,1
2570,4/19/1996,Apr,1996,Tornado,0,0,Illinois,1
2571,4/19/1996,Apr,1996,Tornado,0,2000,Illinois,1
2572,4/19/1996,Apr,1996,Tornado,0,4000000,Illinois,1
2573,4/19/1996,Apr,1996,Tornado,0,0,Illinois,1
2574,4/19/1996,Apr,1996,Tornado,0,4000000,Illinois,1
2575,4/19/1996,Apr,1996,Tornado,0,0,Illinois,1
2576,4/19/1996,Apr,1996,Tornado,0,0,Illinois,1
2577,4/19/1996,Apr,1996,Tornado,0,400000,Illinois,1
2578,4/19/1996,Apr,1996,Tornado,0,5000,Illinois,1
2579,4/19/1996,Apr,1996,Tornado,0,0,Illinois,1
2580,4/19/1996,Apr,1996,Tornado,0,0,Illinois,1
2581,4/19/1996,Apr,1996,Tornado,0,250000,Illinois,1
2582,4/19/1996,Apr,1996,Tornado,0,15000,Illinois,1
2583,4/19/1996,Apr,1996,Tornado,0,10000000,Illinois,1
2584,4/19/1996,Apr,1996,Tornado,0,500,Illinois,1
2585,4/19/1996,Apr,1996,Tornado,0,1000000,Illinois,1
2586,4/19/1996,Apr,1996,Tornado,0,0,Illinois,1
2587,4/19/1996,Apr,1996,Tornado,0,1000000,Illinois,1
2588,4/19/1996,Apr,1996,Tornado,0,10000000,Illinois,1
2589,4/19/1996,Apr,1996,Tornado,0,9000000,Illinois,1
2590,4/19/1996,Apr,1996,Tornado,0,7000000,Illinois,1
2591,4/19/1996,Apr,1996,Tornado,0,0,Illinois,1
2592,4/19/1996,Apr,1996,Tornado,0,500000,Illinois,1
2593,4/19/1996,Apr,1996,Tornado,0,5000,Illinois,1
2594,4/19/1996,Apr,1996,Tornado,0,1000000,Illinois,1
2595,4/19/1996,Apr,1996,Tornado,0,70000,Illinois,1
2596,4/19/1996,Apr,1996,Tornado,0,0,Illinois,1
2597,4/19/1996,Apr,1996,Tornado,0,5000,Illinois,1
2598,4/19/1996,Apr,1996,Tornado,0,9000,Illinois,1
2599,4/19/1996,Apr,1996,Tornado,0,50000,Illinois,1
2600,4/19/1996,Apr,1996,Tornado,0,75000,Illinois,1
2601,4/19/1996,Apr,1996,Tornado,0,0,Illinois,1
2602,4/19/1996,Apr,1996,Tornado,0,20000,Illinois,1
2603,4/19/1996,Apr,1996,Tornado,0,75000,Illinois,1
2604,4/19/1996,Apr,1996,Tornado,0,9000000,Illinois,1
2605,4/19/1996,Apr,1996,Tornado,1,0,Illinois,1
2606,4/19/1996,Apr,1996,Tornado,0,0,Illinois,1
2607,4/19/1996,Apr,1996,Tornado,0,200000,Illinois,1
2608,4/19/1996,Apr,1996,Tornado,0,2800000,Illinois,1
2609,4/19/1996,Apr,1996,Tornado,0,200000,Illinois,1
2610,4/19/1996,Apr,1996,Tornado,0,1000000,Illinois,1
2611,4/19/1996,Apr,1996,Tornado,0,6600000,Illinois,1
2612,5/8/1996,May,1996,Tornado,0,0,Illinois,1
2613,5/8/1996,May,1996,Tornado,0,0,Illinois,1
2614,5/9/1996,May,1996,Tornado,0,0,Illinois,1
2615,5/9/1996,May,1996,Tornado,0,0,Illinois,1
2616,5/10/1996,May,1996,Tornado,0,500000,Illinois,1
2617,5/19/1996,May,1996,Tornado,0,0,Illinois,1
2618,5/25/1996,May,1996,Tornado,0,250000,Illinois,1
2619,5/25/1996,May,1996,Tornado,0,10000,Illinois,1
2620,5/27/1996,May,1996,Tornado,0,0,Illinois,1
2621,5/27/1996,May,1996,Tornado,0,0,Illinois,1
2622,5/27/1996,May,1996,Tornado,0,0,Illinois,1
2623,5/28/1996,May,1996,Tornado,0,0,Illinois,1
2624,6/6/1996,Jun,1996,Tornado,0,0,Illinois,1
2625,6/6/1996,Jun,1996,Tornado,0,0,Illinois,1
2626,6/6/1996,Jun,1996,Tornado,0,0,Illinois,1
2627,6/10/1996,Jun,1996,Tornado,0,0,Illinois,1
2628,7/17/1996,Jul,1996,Tornado,0,0,Illinois,1
2629,7/28/1996,Jul,1996,Tornado,0,0,Illinois,1
2630,8/18/1996,Aug,1996,Tornado,0,0,Illinois,1
2631,8/18/1996,Aug,1996,Tornado,0,0,Illinois,1
2632,10/17/1996,Oct,1996,Tornado,0,0,Illinois,1
2633,12/23/1996,Dec,1996,Tornado,0,0,Illinois,1
2634,4/5/1997,Apr,1997,Tornado,0,10000,Illinois,1
2635,4/30/1997,Apr,1997,Tornado,0,0,Illinois,1
2636,4/30/1997,Apr,1997,Tornado,0,0,Illinois,1
2637,4/30/1997,Apr,1997,Tornado,0,5000,Illinois,1
2638,4/30/1997,Apr,1997,Tornado,0,400000,Illinois,1
2639,4/30/1997,Apr,1997,Tornado,0,400000,Illinois,1
2640,4/30/1997,Apr,1997,Tornado,0,400000,Illinois,1
2641,4/30/1997,Apr,1997,Tornado,0,0,Illinois,1
2642,4/30/1997,Apr,1997,Tornado,0,20000,Illinois,1
2643,4/30/1997,Apr,1997,Tornado,0,0,Illinois,1
2644,4/30/1997,Apr,1997,Tornado,0,20000,Illinois,1
2645,4/30/1997,Apr,1997,Tornado,0,450000,Illinois,1
2646,4/30/1997,Apr,1997,Tornado,0,0,Illinois,1
2647,4/30/1997,Apr,1997,Tornado,0,0,Illinois,1
2648,4/30/1997,Apr,1997,Tornado,0,25000,Illinois,1
2649,4/30/1997,Apr,1997,Tornado,0,115000,Illinois,1
2650,4/30/1997,Apr,1997,Tornado,0,0,Illinois,1
2651,4/30/1997,Apr,1997,Tornado,0,0,Illinois,1
2652,4/30/1997,Apr,1997,Tornado,0,20000,Illinois,1
2653,4/30/1997,Apr,1997,Tornado,0,0,Illinois,1
2654,4/30/1997,Apr,1997,Tornado,0,0,Illinois,1
2655,4/30/1997,Apr,1997,Tornado,0,100000,Illinois,1
2656,4/30/1997,Apr,1997,Tornado,0,0,Illinois,1
2657,5/18/1997,May,1997,Tornado,0,0,Illinois,1
2658,5/18/1997,May,1997,Tornado,0,0,Illinois,1
2659,5/18/1997,May,1997,Tornado,0,0,Illinois,1
2660,5/18/1997,May,1997,Tornado,0,0,Illinois,1
2661,5/25/1997,May,1997,Tornado,0,0,Illinois,1
2662,6/11/1997,Jun,1997,Tornado,0,0,Illinois,1
2663,7/18/1997,Jul,1997,Tornado,0,0,Illinois,1
2664,7/18/1997,Jul,1997,Tornado,0,0,Illinois,1
2665,7/19/1997,Jul,1997,Tornado,0,0,Illinois,1
2666,7/27/1997,Jul,1997,Tornado,0,0,Illinois,1
2667,8/3/1997,Aug,1997,Tornado,0,0,Illinois,1
2668,8/3/1997,Aug,1997,Tornado,0,0,Illinois,1
2669,3/28/1998,Mar,1998,Tornado,0,3000000,Illinois,1
2670,4/7/1998,Apr,1998,Tornado,0,0,Illinois,1
2671,4/7/1998,Apr,1998,Tornado,0,0,Illinois,1
