State,Year,Deaths,Damage_Property,Total_Disaster
California,1996,0,21300000,11
California,1997,0,69255000,20
California,1998,0,6838000,15
California,1999,1,117777000,85
California,2000,1,574502200,32
California,2001,1,37708800,81
California,2002,1,129378000,124
California,2003,22,2189144330,130
California,2004,0,11119500,63
California,2005,0,6618500,35
California,2006,6,94025000,75
California,2007,10,1326315000,66
California,2008,1,188100000,67
California,2009,0,37196000,40
California,2010,0,295500,24
California,2011,0,16025000,21
California,2012,1,5490000,22
California,2013,1,32779000,42
California,2014,1,57172000,58
California,2015,7,1956000,34
California,2016,4,55550000,41
California,2017,18,66400000,59
California,2018,107,18587800000,40
California,2019,2,12960000,56
California,2020,1,1000000,33
Florida,1996,2,45095000,34
Florida,1998,4,489520000,113
Florida,1999,1,395875000,59
Florida,2000,0,5100000,52
Florida,2001,1,28900000,51
Florida,2002,0,22699000,35
Florida,2004,29,16082645000,156
Florida,2005,13,11997425000,134
Florida,2006,0,390200,56
Florida,2007,0,41000,16
Florida,2008,3,86909000,80
Florida,2009,1,800000,11
Florida,2010,0,2000,1
Florida,2011,0,0,4
Florida,2012,3,3177000,59
Florida,2013,0,0,8
Florida,2016,1,2125475000,115
Florida,2017,1,1700500000,89
Florida,2018,1,849500,36
Florida,2019,0,10000000,34
Illinois,1996,1,70541500,71
Illinois,1997,0,1965000,35
Illinois,1998,0,11346250,105
Illinois,1999,3,22599500,76
Illinois,2000,0,890000,58
Illinois,2001,0,7800000,20
Illinois,2002,4,16007000,40
Illinois,2003,2,52055000,136
Illinois,2004,9,18806500,87
Illinois,2005,0,70000,22
Illinois,2006,1,5770000,144
Illinois,2007,0,347000,23
Illinois,2008,0,6347000,50
Illinois,2009,0,25052000,61
Illinois,2010,1,117491000,53
Illinois,2011,0,16823000,78
Illinois,2012,9,4224000,37
Illinois,2013,8,1078702000,71
Illinois,2014,0,4066000,56
Illinois,2015,2,50995000,83
Illinois,2016,0,3905000,47
Illinois,2017,3,12061000,59
Illinois,2018,0,125693000,60
Illinois,2019,0,341000,51
Illinois,2020,0,1373000,48
