,Total_Disasters (Predicted),Year,State
51,81.47536486388442,1996,California
52,62.247990307961565,1997,California
53,31.755943111630835,1998,California
54,38.874983342672635,1999,California
55,58.25068146199644,2000,California
56,44.09915436559346,2001,California
57,65.9959427098686,2002,California
58,44.748152396399966,2003,California
59,48.811175162999895,2004,California
60,19.874140294222357,2005,California
61,42.77125915941756,2006,California
62,26.599316360943227,2007,California
63,54.684344177822396,2008,California
64,25.20659222731028,2009,California
65,33.33175287114447,2010,California
66,2.3743023091189173,2011,California
67,36.53550817740929,2012,California
68,59.44659178325277,2013,California
69,39.204921896360915,2014,California
70,7.70675421441662,2015,California
71,12.310494062687994,2016,California
72,36.221908193824675,2017,California
73,21.056085808761807,2018,California
74,41.94675369471143,2019,California
75,17.64294593231,2020,California
76,26.78240182476773,2021,California
77,-3.168928322103298,2022,California
78,18.722070102817355,2023,California
79,51.882945412637284,2024,California
80,32.655570796531094,2025,California
81,2.163523547472721,2026,California
82,9.282563733707931,2027,California
83,28.658261820651603,2028,California
84,14.506734708760177,2029,California
85,36.403523027709056,2030,California
86,15.155732705484255,2031,California
87,19.218755451522654,2032,California
88,-9.718279422051808,2033,California
89,13.178839435793648,2034,California
90,-2.993103382209071,2035,California
91,25.091924423194357,2036,California
92,-4.385827552348488,2037,California
93,3.7393330667153037,2038,California
94,-27.218117512933127,2039,California
95,6.943088335548481,2040,California
96,29.85417192810627,2041,California
97,9.61250203840811,2042,California
98,-21.885665643195168,2043,California
99,-17.281925795156923,2044,California
100,6.629488336025489,2045,California
101,-8.536334049072423,2046,California
102,12.354333837146115,2047,California
103,-11.94947392536639,2048,California
104,-2.810018033201459,2049,California
105,-32.761348179960294,2050,California
106,-10.870349754994379,2051,California
107,22.290525554988832,2052,California
108,3.063150938308155,2053,California
109,-27.428896310466868,2054,California
110,-20.30985612411756,2055,California
111,-0.934158037108773,2056,California
112,-15.085685148997214,2057,California
113,6.811103169895404,2058,California
114,-14.436687152561959,2059,California
115,-10.373664406368505,2060,California
116,-39.31069927983046,2061,California
117,-16.413580421945298,2062,California
118,-32.58552324012571,2063,California
119,-4.500495434745346,2064,California
120,-33.978247410282606,2065,California
121,-25.85308679120314,2066,California
122,-56.8105373708684,2067,California
123,-22.6493315222925,2068,California
124,0.26175207010228974,2069,California
125,-19.97991781962692,2070,California
126,-51.47808550116265,2071,California
127,-46.874345653078194,2072,California
128,-22.962931521847523,2073,California
129,-38.128753907086406,2074,California
130,-17.238086020868423,2075,California
131,-41.541893783335865,2076,California
132,-32.40243789114531,2077,California
133,-62.353768037841704,2078,California
134,-40.46276961288825,2079,California
135,-7.301894302955574,2080,California
136,-26.52926891950301,2081,California
137,-57.02131616811306,2082,California
138,-49.90227598196742,2083,California
139,-30.52657789504582,2084,California
140,-44.67810500699484,2085,California
141,-22.78131668789125,2086,California
142,-44.02910701049524,2087,California
143,-39.966084264299795,2088,California
144,-68.90311913786175,2089,California
145,-46.00600027983218,2090,California
146,-62.17794309807307,2091,California
147,-34.09291529275285,2092,California
148,-63.57066726824739,2093,California
149,-55.44550664916562,2094,California
150,-86.40295722884225,2095,California
151,-52.24175138025841,2096,California
152,-29.330667787919737,2097,California
153,-49.57233767766944,2098,California
154,-81.07050535923759,2099,California
155,-74.94767381864636,2100,California
156,-107.88590923754978,2101,California
157,-88.94693789383213,2102,California
158,-109.02713660011617,2103,California
159,-69.07450484696687,2104,California
160,-102.553457367899,2105,California
161,-98.3864442632754,2106,California
162,-133.25215073127742,2107,California
163,-87.22334093482695,2108,California
164,-68.31345788798012,2109,California
165,-92.51327529155269,2110,California
166,-127.91969886166157,2111,California
167,-111.44835506552846,2112,California
168,-91.53814147979692,2113,California
169,-110.66211137899198,2114,California
170,-93.67969938150762,2115,California
171,-106.11590319567411,2116,California
172,-100.97764784873354,2117,California
173,-134.88712551015237,2118,California
174,-116.90438297346398,2119,California
46,67.08882429395199,1996,Florida
47,7.539948549194666,1997,Florida
48,136.5703867468945,1998,Florida
49,109.86734023401641,1999,Florida
50,95.2307660457266,2000,Florida
51,65.62994186317027,2001,Florida
52,83.0358151162184,2002,Florida
