,State,Year,HPI
0,California,1996,330.61854545454565
1,California,1997,338.655090909091
2,California,1998,355.75553571428566
3,California,1999,376.6225
4,California,2000,439.17218181818197
5,California,2001,486.22571428571416
6,California,2002,525.1305263157893
7,California,2003,564.3736206896551
8,California,2004,666.211724137931
9,California,2005,824.6129310344826
10,California,2006,896.7732758620691
11,California,2007,857.0606896551724
12,California,2008,711.3617241379312
13,California,2009,604.2224137931037
14,California,2010,566.8896551724138
15,California,2011,527.9263793103448
16,California,2012,523.8670689655171
17,California,2013,579.9724137931032
18,California,2014,662.4520689655171
19,California,2015,704.4074137931032
20,California,2016,773.6947368421054
21,California,2017,818.6363793103448
22,California,2018,877.9148275862068
23,California,2019,921.3373684210527
24,Florida,1996,186.62019230769226
25,Florida,1998,193.85821428571427
26,Florida,1999,201.10464285714284
27,Florida,2000,213.66482142857143
28,Florida,2001,225.20186440677952
29,Florida,2002,239.9855
30,Florida,2004,289.77435483870966
31,Florida,2005,362.0633870967742
32,Florida,2006,412.0423809523809
33,Florida,2007,397.86984375000014
34,Florida,2008,344.69187500000015
35,Florida,2009,289.92421875
36,Florida,2010,259.85078124999995
37,Florida,2011,242.69984374999996
38,Florida,2012,236.14828125
39,Florida,2013,248.30578125000005
40,Florida,2016,313.4331249999999
41,Florida,2017,338.0621875
42,Florida,2018,369.055873015873
43,Florida,2019,392.15349206349197
49,Illinois,1996,164.5563855421687
50,Illinois,1997,170.08662650602412
51,Illinois,1998,170.31886363636363
52,Illinois,1999,175.5693181818182
53,Illinois,2000,182.08011363636368
54,Illinois,2001,185.6408695652175
55,Illinois,2002,187.808
56,Illinois,2003,191.5351578947368
57,Illinois,2004,200.56631578947372
58,Illinois,2005,212.49294736842086
59,Illinois,2006,222.5876842105263
60,Illinois,2007,228.3325531914894
61,Illinois,2008,226.258105263158
62,Illinois,2009,216.84567010309277
63,Illinois,2010,211.50587628865975
64,Illinois,2011,207.5627835051546
65,Illinois,2012,205.06288659793807
66,Illinois,2013,206.14597938144334
67,Illinois,2014,209.3568750000001
68,Illinois,2015,211.1424742268041
69,Illinois,2016,215.58608247422688
70,Illinois,2017,220.2494736842105
71,Illinois,2018,223.666
72,Illinois,2019,227.9059375
