,HPI (Predicted),Year,State
50,411.53482697119614,1996,California
51,352.7295793584736,1997,California
52,376.87998595530775,1998,California
53,323.46168279800406,1999,California
54,525.9238491694491,2000,California
55,530.3173222318587,2001,California
56,478.68557816309067,2002,California
57,410.05192752672053,2003,California
58,488.7260757411505,2004,California
59,568.1795972720132,2005,California
60,593.0745816657212,2006,California
61,587.639642306173,2007,California
62,575.3162829029816,2008,California
63,604.400627687859,2009,California
64,555.8767706160169,2010,California
65,625.5018890917117,2011,California
66,752.9039882328872,2012,California
67,706.2061823622546,2013,California
68,642.4669778156954,2014,California
69,661.722919592956,2015,California
70,790.7662351203065,2016,California
71,820.5951670947154,2017,California
72,820.0546832203356,2018,California
73,763.528474312076,2019,California
74,826.9872656258015,2020,California
75,783.3973561462708,2021,California
76,857.916930105634,2022,California
77,877.9174590445455,2023,California
78,928.7928203449229,2024,California
79,869.9875633658289,2025,California
80,894.1379606109086,2026,California
81,840.7196480962332,2027,California
82,1043.18180507723,2028,California
83,1047.5752687706713,2029,California
84,995.9435153305444,2030,California
85,927.3098553157845,2031,California
86,1005.9839941291436,2032,California
87,1085.4375156555054,2033,California
88,1110.3325000625018,2034,California
89,1104.8975607203784,2035,California
90,1092.5742013484933,2036,California
91,1121.6585461610168,2037,California
92,1073.1346891147311,2038,California
93,1142.7598076063991,2039,California
94,1270.1619067538961,2040,California
95,1223.4641008803296,2041,California
96,1159.724896334146,2042,California
97,1178.9808381116413,2043,California
98,1308.0241536390395,2044,California
99,1337.8530856127882,2045,California
100,1337.3126017389163,2046,California
101,1280.7863928304516,2047,California
102,1344.2451841440793,2048,California
103,1300.655274664798,2049,California
104,1375.1748486244567,2050,California
105,1395.1753775625534,2051,California
106,1446.050738862893,2052,California
107,1387.2454818843285,2053,California
108,1411.3958791292998,2054,California
109,1357.977566615004,2055,California
110,1560.43972359548,2056,California
111,1564.833187289191,2057,California
112,1513.2014338486497,2058,California
113,1444.567773834248,2059,California
114,1523.2419126475945,2060,California
115,1602.6954341746896,2061,California
116,1627.590418580861,2062,California
117,1622.1554792390953,2063,California
118,1609.8321198671674,2064,California
119,1638.9164646796157,2065,California
120,1590.3926076327718,2066,California
121,1660.0177261245517,2067,California
122,1787.4198252720112,2068,California
123,1740.722019398364,2069,California
124,1676.9828148523598,2070,California
125,1696.23875662971,2071,California
126,1825.2820721572969,2072,California
127,1855.111004131337,2073,California
128,1854.5705202571626,2074,California
129,1798.0443113486854,2075,California
130,1861.503102662327,2076,California
131,1817.9131931827164,2077,California
132,1892.4327671426486,2078,California
133,1912.4332960810048,2079,California
134,1963.308657381466,2080,California
135,1904.5034004024583,2081,California
136,1928.6537976472641,2082,California
137,1875.2354851333373,2083,California
138,2077.6976421137297,2084,California
139,2082.091105807086,2085,California
140,2030.4593523668032,2086,California
141,1961.8256923523998,2087,California
142,2040.4998311655384,2088,California
