,Year,State,"Average Weather (F, Predicted)"
0,1996,California,58.02615170466047
1,1997,California,58.23692036736085
2,1998,California,58.12247928636607
3,1999,California,58.10072285391506
4,2000,California,58.16575296934222
5,2001,California,58.43350974955063
6,2002,California,58.16156212777411
7,2003,California,58.376362797356386
8,2004,California,58.281721371358735
9,2005,California,58.12383827473481
10,2006,California,58.3011633924556
11,2007,California,58.57295217954597
12,2008,California,58.557361314800175
13,2009,California,58.440911436224305
14,2010,California,58.41713179447176
15,2011,California,58.26328070472974
16,2012,California,58.75395069699014
17,2013,California,58.47999427763213
18,2014,California,58.69277173791376
19,2015,California,58.58035386621979
20,2016,California,58.44427922217392
21,2017,California,58.61959554231303
22,2018,California,58.88936112010374
23,2019,California,58.619436707627536
24,2020,California,58.761352383663514
25,2021,California,58.735563944329655
26,2022,California,58.579689645287765
27,2023,California,58.75903797230876
28,2024,California,58.800435225071446
29,2025,California,59.011203887771714
30,2026,California,58.89676280677718
31,2027,California,58.875006374325714
32,2028,California,58.940036489753496
33,2029,California,59.20779326996124
34,2030,California,58.93584564818524
35,2031,California,59.15064631776738
36,2032,California,59.0560048917698
37,2033,California,58.89812179514541
38,2034,California,59.07544691286597
39,2035,California,59.347235699957245
40,2036,California,59.331644835211534
41,2037,California,59.215194956634654
42,2038,California,59.19141531488482
43,2039,California,59.0375642251399
44,2040,California,59.528234217400104
45,2041,California,59.254277798043184
46,2042,California,59.46705525832532
47,2043,California,59.35463738662983
48,2044,California,59.218562742585156
49,2045,California,59.393879062726185
50,2046,California,59.663644640514185
51,2047,California,59.39372022803909
52,2048,California,59.53563590407365
53,2049,California,59.50984746474233
54,2050,California,59.35397316569818
55,2051,California,59.533321492722884
56,2052,California,59.574718745483075
57,2053,California,59.7854874081837
58,2054,California,59.67104632718846
59,2055,California,59.649289894736064
60,2056,California,59.71432001016785
61,2057,California,59.98207679037275
62,2058,California,59.710129168595905
63,2059,California,59.92492983817886
64,2060,California,59.8302884121802
65,2061,California,59.672405315556816
66,2062,California,59.84973043328017
67,2063,California,60.1215192203677
68,2064,California,60.10592835562279
69,2065,California,59.98947847704602
70,2066,California,59.96569883529523
71,2067,California,59.81184774555143
72,2068,California,60.3025177378115
73,2069,California,60.02856131845388
74,2070,California,60.24133877873634
75,2071,California,60.128920907041206
76,2072,California,59.99284626299509
77,2073,California,60.16816258313817
78,2074,California,60.43792816092449
79,2075,California,60.16800374845035
80,2076,California,60.3099194244849
81,2077,California,60.28413098515257
82,2078,California,60.128256686107996
83,2079,California,60.30760501313384
84,2080,California,60.34900226589444
85,2081,California,60.55977092859442
86,2082,California,60.445329847597996
87,2083,California,60.42357341514741
88,2084,California,60.48860353057866
89,2085,California,60.756360310783975
90,2086,California,60.48441268900754
91,2087,California,60.69921335859031
92,2088,California,60.60457193259131
93,2089,California,60.44668883596819
94,2090,California,60.62401395369125
95,2091,California,60.895802740779075
96,2092,California,60.88021187603467
97,2093,California,60.76376199745732
98,2094,California,60.73998235570549
99,2095,California,60.58613126596242
100,2096,California,61.076801258222744
101,2097,California,60.802844838865425
102,2098,California,61.01562229914812
103,2099,California,60.90320442745247
104,2100,California,60.88348267079545
105,2101,California,60.73370943999536
106,2102,California,60.91918434808178
107,2103,California,61.1991510043208
108,2104,California,61.159122614236644
109,2105,California,61.050782601486596
110,2106,California,61.03515275009451
111,2107,California,60.88947952950637
112,2108,California,61.355711996425505
113,2109,California,61.089865442894755
114,2110,California,61.310792693536705
115,2111,California,61.206552690994656
116,2112,California,61.04604052160994
117,2113,California,61.22946670757496
118,2114,California,61.50738207572793
119,2115,California,61.24563553240314
120,2116,California,61.36311368309927
121,2117,California,61.34543510959226
122,2118,California,61.19771060091366
123,2119,California,61.38523679708087
124,1996,Florida,71.13727614492973
125,1997,Florida,71.11118236843741
126,1998,Florida,70.85553096240609
127,1999,Florida,70.72961044112145
128,2000,Florida,71.4555360736807
129,2001,Florida,71.12644413335508
130,2002,Florida,71.17784499085444
131,2003,Florida,71.14932349312485
132,2004,Florida,71.1157842041396
133,2005,Florida,71.34743495782273
134,2006,Florida,71.49610491960556
135,2007,Florida,71.16458525804279
136,2008,Florida,71.53549725614242
137,2009,Florida,71.28110728168207
138,2010,Florida,71.15635305006454
139,2011,Florida,71.38557608251057
140,2012,Florida,71.55075902106037
141,2013,Florida,71.60342131013033
142,2014,Florida,71.57606610206713
143,2015,Florida,71.31924840636887
144,2016,Florida,71.7717498455279
145,2017,Florida,71.9216812388818
146,2018,Florida,71.59132786698504
147,2019,Florida,71.64156243481708
148,2020,Florida,71.70542216938703
149,2021,Florida,71.5819293693402
150,2022,Florida,71.81231869145334
151,2023,Florida,71.95982236356896
152,2024,Florida,72.02773619783547
153,2025,Florida,72.0016424213432
154,2026,Florida,71.74599101531187
155,2027,Florida,71.62007049402709
156,2028,Florida,72.3459961265863
157,2029,Florida,72.01690418626067
158,2030,Florida,72.06830504375935
159,2031,Florida,72.03978354603028
