,EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55
0,5549398,VENTURA CO.,FILLMORE,4/28/1996,1400,Wildfire, , ,0,2,0,0,CA,PST, ,2030635,C,111,LOX,0,0, , , , , , , , ,FILLMORE, , , , ,,"Dry, gusty Santa Ana winds helped fuel a fire in the Los Padres National Forest. A low voltage electrical line failed, igniting the 
blaze. Over 10,000 acres were burned. Two firefighters were injured 
during the fire. By the end of the month, the fire was about 40 percent contained.",1,,,,,,,,,,,,,,,,,,,
1,5549399,RIVERSIDE CO.,RUBIDOUX,4/29/1996,900,Wildfire, , ,0,0,0,0,CA,PST, ,2030636,C,65,LOX,0,0, , , , , , , , ,RUBIDOUX, , , , ,,"Santa Ana winds helped spread a fire in Riverside county. Over 300
acres of land was burned with one home destroyed.",2,,,,,,,,,,,,,,,,,,,
2,5545326,VENTURA CO.,FILLMORE,5/1/1996,0,Wildfire, , ,0,3,0,500000,CA,PST, ,2032515,C,111,LOX,0,0, , , , , , , , ,FILLMORE, , , , ,,"Hot and dry conditions, produced by offshore winds, continued to fuel a fire in the Los Padres National Forest. The fire, which ignited in late April, destroyed one mobile home and scorched numerous citrus and avocado orchards. In addition, several firefighters were injured.",3,,,,,,,,,,,,,,,,,,,
3,5545327,RIVERSIDE CO.,RIVERSIDE,5/11/1996,1600,Wildfire, , ,0,0,0,0,CA,PST, ,2032516,C,65,LOX,0,0, , , , , , , , ,RIVERSIDE, , , , ,,"On Mother's Day, hot Santa Ana winds helped fuel a brush fire near the University of California at Riverside. The fire burned over 300 acres, including property owned by Kappa Alpha fraternity. Three cars and two mobile homes were destroyed.",4,,,,,,,,,,,,,,,,,,,
4,5575790,CALAVERAS CO.,T-C RANGER UNIT, CDF,8/12/1996,900,Wildfire, , ,0,0,0,0,CA,PST, ,2055490,C,9,STO,0,0, , , , , , , , ,T-C RANGER UNIT, CDF, , , , ,,"Lightning started the Keystone"" fire that burned in the jurisdiction of the Tuolumne-Calaveras Ranger Unit of the California Department of Forestry. This wildfire destroyed 20 homes and damaged 7 others. It burned 7000 acres.""",5,,,,,,,,,,,,,,,,,
5,5575788,TUOLUMNE CO.,STANISLAUS NAT. FOR.,8/14/1996,730,Wildfire, , ,0,0,0,0,CA,PST, ,2055489,C,109,STO,0,0, , , , , , , , ,STANISLAUS NAT. FOR., , , , ,,"Lightning started the Rogge wildfire in the Stanislaus National Forest along the Tuolumne River.  The wildfire took two weeks to get under control, burning 23,200 acres.",6,,,,,,,,,,,,,,,,,,,
6,5575789,TUOLUMNE CO.,YOSEMITE NAT. PARK,8/14/1996,800,Wildfire, , ,0,0,0,0,CA,PST, ,1030064,C,109,STO,0,0, , , , , , , , ,YOSEMITE NAT. PARK, , , , ,,"Lightning caused a wildfire known as the Ackerson Complex fire.  The fire burned 61,070 acres.  
August was the worst month of the year for wildfire in California.  In 1996, 232,984 acres burned throughout the state, or 90 percent greater than the normal acreage of 122,362 acres.",7,,,,,,,,,,,,,,,,,,,
7,5578331,MONTEREY CO.,CAMBRIA,10/7/1996,0,Wildfire, , ,0,3,4500000,1000000,CA,PST, ,2054630,C,53,MTR,0,0, , , , ,45,N,30,S,CARMEL, , , , ,,"The fire known as Wild Cattle Canyon Fire burned over 20,000 acres mostly in the Las Padres National Forest and Big Sur area. This fire lasted 7 days and was supported by an IMET from San Juaoquin Valley NWFO. 15 Federal, State, and local agencies provided as many as 2200 firefighters were on the fire.
Three Firefighter were injured from falling in the steep terrain. The cost in the firefight alone was $4.5 Million. 5 homes were distroyed. two vehicles,two travel trailers and nine outbuildings were distroyed. High temperatures proceeded the fires with a high of 102 in Monterey. Heavy fog caused problems because aircraft and helicopters could not operate over the very rugged terrain. A light drizzle finally came and aided the demise of the fire but also made the terrain very slippery and dangerous for firefighters.",8,,,,,,,,,,,,,,,,,,,
8,5578493,MONTEREY CO.,BIG SUR,10/18/1996,700,Wildfire, , ,0,0,12300000,0,CA,PST, ,2054631,C,53,MTR,0,0, , , , ,2,S,10,S,BIG SUR, , , , ,,This fire known as the Big Sur fire began Oct 18 near Ventana Camp Park. Much of the fire occurred in the Ventana wilderness area. 2500 Fire fighter participated. 4400 acres were burned. light rain helped control fire. The cost of fighting the fire is estimated 12.3 million. 180 fire engines were used. 13 helicopters and 3 air tankers were used.,9,,,,,,,,,,,,,,,,,,,
9,5564248,LOS ANGELES CO.,MALIBU,10/21/1996,800,Wildfire, , ,0,16,1500000,0,CA,PST, ,2048455,C,37,LOX,0,0, , , , , , , , ,MALIBU, , , , ,,"A wildfire...sparked by arcing power lines...burned over 13,000
acres of land between Calabasas and Malibu. Two seperate Santa
Ana wind events...with wind gusts up to 70 mph...helped spread the
flames toward the ocean through the week. Six homes...four mobile
homes and three vehicles were destroyed. Sixteen emergency
personnel were injured...including fourteen firefighters.",10,,,,,,,,,,,,,,,,,,,
