State,Year,HPI,Total (C),Total (F),Average Temperature (F),Average Temperature (C)
CA,1975,100.0,160,674,56.17,13.33
CA,1976,112.8724324324324,166,688,57.33,13.83
CA,1977,133.0775,168,694,57.83,14.0
CA,1978,152.0213953488372,168,690,57.5,14.0
CA,1979,167.84999999999997,169,692,57.67,14.08
CA,1980,190.01673469387754,169,696,58.0,14.08
CA,1981,212.87644444444442,179,709,59.08,14.92
CA,1982,219.3671111111111,157,675,56.25,13.08
CA,1983,206.2041176470588,166,689,57.42,13.83
CA,1984,211.44431372549016,170,695,57.92,14.17
CA,1985,219.1403921568628,164,685,57.08,13.67
CA,1986,223.5214814814815,175,703,58.58,14.58
CA,1987,235.5733333333333,171,696,58.0,14.25
CA,1988,262.4912962962963,174,702,58.5,14.5
CA,1989,310.58407407407395,169,694,57.83,14.08
CA,1990,342.05037037037033,169,691,57.58,14.08
CA,1991,350.5274074074073,168,692,57.67,14.0
CA,1992,350.10685185185184,176,709,59.08,14.67
CA,1993,338.24672727272724,168,690,57.5,14.0
CA,1994,332.7474545454546,168,693,57.75,14.0
CA,1995,329.9859999999999,175,704,58.67,14.58
CA,1996,330.6185454545456,180,713,59.42,15.0
CA,1997,338.655090909091,175,707,58.92,14.58
CA,1998,355.7555357142857,162,680,56.67,13.5
CA,1999,376.6225,171,693,57.75,14.25
CA,2000,439.17218181818197,173,703,58.58,14.42
CA,2001,486.22571428571416,175,705,58.75,14.58
CA,2002,525.1305263157894,174,703,58.58,14.5
CA,2003,564.3736206896551,178,712,59.33,14.83
CA,2004,666.211724137931,175,703,58.58,14.58
CA,2005,824.6129310344826,174,699,58.25,14.5
CA,2006,896.7732758620691,173,702,58.5,14.42
CA,2007,857.0606896551725,174,704,58.67,14.5
CA,2008,711.3617241379312,174,705,58.75,14.5
CA,2009,604.2224137931036,174,700,58.33,14.5
CA,2010,566.8896551724138,166,690,57.5,13.83
CA,2011,527.9263793103448,167,687,57.25,13.92
CA,2012,523.8670689655171,177,708,59.0,14.75
FL,1975,100.0,262,860,71.67,21.83
FL,1976,99.81095238095239,248,835,69.58,20.67
FL,1977,105.19615384615388,250,839,69.92,20.83
FL,1978,113.79172413793106,252,843,70.25,21.0
FL,1979,122.18882352941179,252,846,70.5,21.0
FL,1980,134.13323529411764,254,845,70.42,21.17
FL,1981,143.05314285714286,250,837,69.75,20.83
FL,1982,160.09617647058826,263,864,72.0,21.92
FL,1983,162.856,249,838,69.83,20.75
FL,1984,167.15714285714284,253,844,70.33,21.08
FL,1985,166.19756756756755,260,854,71.17,21.67
FL,1986,165.06175000000002,265,863,71.92,22.08
FL,1987,168.94549999999995,255,846,70.5,21.25
FL,1988,175.34225,251,840,70.0,20.92
FL,1989,183.00174999999996,258,857,71.42,21.5
FL,1990,186.32500000000002,268,872,72.67,22.33
FL,1991,189.39224999999996,264,865,72.08,22.0
FL,1992,185.0495454545455,255,845,70.42,21.25
FL,1993,184.68630434782605,258,847,70.58,21.5
FL,1994,188.36866666666663,265,861,71.75,22.08
FL,1995,188.00937499999995,257,853,71.08,21.42
FL,1996,186.62019230769224,254,843,70.25,21.17
FL,1997,191.12547169811324,259,860,71.67,21.58
FL,1998,193.85821428571424,270,875,72.92,22.5
FL,1999,201.1046428571428,261,859,71.58,21.75
FL,2000,213.66482142857143,258,852,71.0,21.5
FL,2001,225.2018644067795,259,857,71.42,21.58
FL,2002,239.98549999999997,262,864,72.0,21.83
FL,2003,252.21596774193537,260,856,71.33,21.67
FL,2004,289.7743548387097,260,856,71.33,21.67
FL,2005,362.0633870967742,257,854,71.17,21.42
FL,2006,412.04238095238094,263,861,71.75,21.92
FL,2007,397.8698437500001,266,866,72.17,22.17
