State,County,FIPS code,Year,Annual Change (%),HPI,HPI with 1990 base,HPI with 2000 base
AL,Autauga,1001,1986,.,100,95.39,70.84
AL,Autauga,1001,1987,-2.36,97.64,93.14,69.17
AL,Autauga,1001,1988,3.48,101.03,96.37,71.57
AL,Autauga,1001,1989,4.27,105.34,100.49,74.62
AL,Autauga,1001,1990,-0.49,104.83,100,74.26
AL,Autauga,1001,1991,2.81,107.78,102.81,76.35
AL,Autauga,1001,1992,2.85,110.85,105.74,78.52
AL,Autauga,1001,1993,3.48,114.71,109.42,81.26
AL,Autauga,1001,1994,4.34,119.69,114.17,84.78
AL,Autauga,1001,1995,3.5,123.87,118.16,87.75
AL,Autauga,1001,1996,2.68,127.19,121.33,90.1
AL,Autauga,1001,1997,3.31,131.4,125.34,93.08
AL,Autauga,1001,1998,3.41,135.88,129.61,96.25
AL,Autauga,1001,1999,1.63,138.09,131.72,97.82
AL,Autauga,1001,2000,2.23,141.17,134.66,100
AL,Autauga,1001,2001,3.64,146.3,139.56,103.64
AL,Autauga,1001,2002,2.43,149.86,142.95,106.16
AL,Autauga,1001,2003,1.82,152.59,145.56,108.09
AL,Autauga,1001,2004,2.64,156.62,149.4,110.95
AL,Autauga,1001,2005,7.22,167.93,160.18,118.96
AL,Autauga,1001,2006,7.47,180.46,172.14,127.84
AL,Autauga,1001,2007,4.45,188.5,179.81,133.53
AL,Autauga,1001,2008,0.07,188.63,179.94,133.62
AL,Autauga,1001,2009,-2.18,184.53,176.02,130.72
AL,Autauga,1001,2010,-2.93,179.12,170.86,126.88
AL,Autauga,1001,2011,-2.47,174.69,166.63,123.75
AL,Autauga,1001,2012,-2.87,169.68,161.86,120.2
AL,Autauga,1001,2013,0.44,170.43,162.57,120.73
AL,Autauga,1001,2014,0.43,171.16,163.27,121.25
AL,Autauga,1001,2015,0.92,172.74,164.77,122.36
AL,Autauga,1001,2016,2.09,176.34,168.21,124.92
AL,Autauga,1001,2017,2.52,180.78,172.45,128.06
AL,Autauga,1001,2018,0.41,181.51,173.15,128.58
AL,Autauga,1001,2019,3.82,188.45,179.77,133.5
AL,Baldwin,1003,1977,.,100,69.01,41.8
AL,Baldwin,1003,1978,1.55,101.55,70.08,42.44
AL,Baldwin,1003,1979,3.01,104.61,72.19,43.72
AL,Baldwin,1003,1980,23.05,128.72,88.83,53.8
