Begin_Date,Begin_Month,Begin_Year,Event_Type,Deaths,Damage_Property,State,Total_Disaster
3/22/1991,Mar,1991,Tornado,0,2500000,IL,1
3/22/1991,Mar,1991,Tornado,0,2500000,IL,1
3/22/1991,Mar,1991,Tornado,0,2500000,IL,1
3/27/1991,Mar,1991,Tornado,0,0,IL,1
3/27/1991,Mar,1991,Tornado,0,25000000,IL,1
3/27/1991,Mar,1991,Tornado,0,25000000,IL,1
3/27/1991,Mar,1991,Tornado,0,25000000,IL,1
3/27/1991,Mar,1991,Tornado,0,0,IL,1
3/27/1991,Mar,1991,Tornado,0,2500,IL,1
4/23/1991,Apr,1991,Tornado,0,2500,IL,1
4/29/1991,Apr,1991,Tornado,0,25000,IL,1
4/29/1991,Apr,1991,Tornado,0,25000,IL,1
4/29/1991,Apr,1991,Tornado,0,25000,IL,1
4/29/1991,Apr,1991,Tornado,0,0,IL,1
4/29/1991,Apr,1991,Tornado,0,0,IL,1
4/29/1991,Apr,1991,Tornado,0,0,IL,1
4/29/1991,Apr,1991,Tornado,0,0,IL,1
4/29/1991,Apr,1991,Tornado,0,0,IL,1
5/5/1991,May,1991,Tornado,0,25000,IL,1
5/5/1991,May,1991,Tornado,0,0,IL,1
5/10/1991,May,1991,Tornado,0,0,IL,1
5/11/1991,May,1991,Tornado,0,0,IL,1
5/14/1991,May,1991,Tornado,0,0,IL,1
5/14/1991,May,1991,Tornado,0,0,IL,1
5/16/1991,May,1991,Tornado,0,0,IL,1
5/17/1991,May,1991,Tornado,0,0,IL,1
5/18/1991,May,1991,Tornado,0,0,IL,1
5/22/1991,May,1991,Tornado,0,0,IL,1
5/25/1991,May,1991,Tornado,0,0,IL,1
5/31/1991,May,1991,Tornado,0,2500,IL,1
5/31/1991,May,1991,Tornado,0,0,IL,1
8/3/1991,Aug,1991,Tornado,0,2500000,IL,1
10/4/1991,Oct,1991,Tornado,0,250000,IL,1
10/4/1991,Oct,1991,Tornado,0,0,IL,1
11/19/1991,Nov,1991,Tornado,0,25000000,IL,1
12/8/1991,Dec,1991,Tornado,0,250000,IL,1
3/6/1992,Mar,1992,Tornado,0,0,IL,1
4/10/1992,Apr,1992,Tornado,0,0,IL,1
4/15/1992,Apr,1992,Tornado,0,250000,IL,1
5/4/1992,May,1992,Tornado,0,2500,IL,1
5/4/1992,May,1992,Tornado,0,0,IL,1
5/4/1992,May,1992,Tornado,0,0,IL,1
6/17/1992,Jun,1992,Tornado,0,0,IL,1
6/17/1992,Jun,1992,Tornado,0,2500,IL,1
6/17/1992,Jun,1992,Tornado,0,250000,IL,1
6/17/1992,Jun,1992,Tornado,0,0,IL,1
6/17/1992,Jun,1992,Tornado,0,25000,IL,1
6/19/1992,Jun,1992,Tornado,0,2500,IL,1
7/2/1992,Jul,1992,Tornado,0,0,IL,1
7/2/1992,Jul,1992,Tornado,0,2500,IL,1
7/2/1992,Jul,1992,Tornado,0,0,IL,1
7/2/1992,Jul,1992,Tornado,0,0,IL,1
7/4/1992,Jul,1992,Tornado,0,2500000,IL,1
7/25/1992,Jul,1992,Tornado,0,0,IL,1
7/25/1992,Jul,1992,Tornado,0,250000,IL,1
7/30/1992,Jul,1992,Tornado,0,2500,IL,1
7/30/1992,Jul,1992,Tornado,0,25000,IL,1
8/26/1992,Aug,1992,Tornado,0,0,IL,1
9/9/1992,Sep,1992,Tornado,0,0,IL,1
5/11/1993,May,1993,Tornado,0,50000,IL,1
5/23/1993,May,1993,Tornado,0,50000,IL,1
8/15/1993,Aug,1993,Tornado,0,0,IL,1
8/15/1993,Aug,1993,Tornado,0,500000,IL,1
8/16/1993,Aug,1993,Tornado,0,50000,IL,1
8/16/1993,Aug,1993,Tornado,0,0,IL,1
8/16/1993,Aug,1993,Tornado,0,0,IL,1
8/16/1993,Aug,1993,Tornado,0,0,IL,1
8/19/1993,Aug,1993,Tornado,0,0,IL,1
8/19/1993,Aug,1993,Tornado,0,0,IL,1
8/23/1993,Aug,1993,Tornado,0,0,IL,1
9/20/1993,Sep,1993,Tornado,0,0,IL,1
4/15/1994,Apr,1994,Tornado,0,500000,IL,1
4/15/1994,Apr,1994,Tornado,0,500000,IL,1
4/26/1994,Apr,1994,Tornado,0,0,IL,1
4/26/1994,Apr,1994,Tornado,0,5000000,IL,1
4/26/1994,Apr,1994,Tornado,0,50000,IL,1
4/26/1994,Apr,1994,Tornado,0,50000,IL,1
4/26/1994,Apr,1994,Tornado,0,50000,IL,1
