Year,Unemployment Rate ,HomeOwnRate,Population,MediumIncome
2019,0.04,0.651,12671821,74399
2018,0.043,0.66,12723071,70145
2017,0.049,0.654,12778828,65969
2016,0.058,0.653,12820527,61386
2015,0.06,0.654,12858913,60413
2014,0.071,0.664,12884493,54916
2013,0.09,0.672,12895129,53937
2012,0.09,0.668,12882510,51738
2011,0.097,0.684,12867454,50637
2010,0.104,0.688,12840503,50728
2009,0.102,0.691,12796778,52870
2008,0.063,0.689,12747038,53254
2007,0.05,0.694,12695866,52506
2006,0.045,0.704,12643955,48671
2005,0.057,0.709,12609903,48398
2004,0.062,0.727,12589773,46077
2003,0.068,0.707,12556006,45153
2002,0.065,0.701,12525556,42710
2001,0.053,0.694,12488445,46171
2000,0.043,0.679,12434161,46064
1999,0.044,0.671,12128370,46330
1998,0.044,0.68,12069774,43178
1997,0.048,0.681,12011509,41283
1996,0.053,0.682,11953003,39554
1995,0.052,0.664,11884935,38071
1994,0.058,0.642,11804986,35081
1993,0.074,0.618,11725984,32857
1992,0.079,0.624,11635197,31551
1991,0.073,0.63,11535973,31884
