Begin_Date,Begin_Month,Begin_Year,Event_Type,Deaths,Damage_Property,State,Total_Disaster
4/28/1996,Apr,1996,Wildfire,0,0,CA,1
4/29/1996,Apr,1996,Wildfire,0,0,CA,1
5/1/1996,May,1996,Wildfire,0,0,CA,1
5/11/1996,May,1996,Wildfire,0,0,CA,1
8/14/1996,Aug,1996,Wildfire,0,0,CA,1
8/14/1996,Aug,1996,Wildfire,0,0,CA,1
10/7/1996,Oct,1996,Wildfire,0,0,CA,1
10/18/1996,Oct,1996,Wildfire,0,4500000,CA,1
10/21/1996,Oct,1996,Wildfire,0,12300000,CA,1
10/21/1996,Oct,1996,Wildfire,0,1500000,CA,1
10/21/1996,Oct,1996,Wildfire,0,3000000,CA,1
5/16/1997,May,1997,Wildfire,0,37400000,CA,1
5/27/1997,May,1997,Wildfire,0,0,CA,1
5/29/1997,May,1997,Wildfire,0,0,CA,1
6/29/1997,Jun,1997,Wildfire,0,150000,CA,1
6/29/1997,Jun,1997,Wildfire,0,0,CA,1
7/30/1997,Jul,1997,Wildfire,0,0,CA,1
8/1/1997,Aug,1997,Wildfire,0,2000000,CA,1
8/5/1997,Aug,1997,Wildfire,0,1750000,CA,1
8/6/1997,Aug,1997,Wildfire,0,5000000,CA,1
8/8/1997,Aug,1997,Wildfire,0,1900000,CA,1
8/19/1997,Aug,1997,Wildfire,0,3000000,CA,1
8/19/1997,Aug,1997,Wildfire,0,400000,CA,1
9/6/1997,Sep,1997,Wildfire,0,200000,CA,1
9/13/1997,Sep,1997,Wildfire,0,0,CA,1
9/24/1997,Sep,1997,Wildfire,0,250000,CA,1
9/24/1997,Sep,1997,Wildfire,0,940000,CA,1
9/24/1997,Sep,1997,Wildfire,0,215000,CA,1
9/25/1997,Sep,1997,Wildfire,0,750000,CA,1
9/27/1997,Sep,1997,Wildfire,0,300000,CA,1
10/13/1997,Oct,1997,Wildfire,0,15000000,CA,1
8/31/1998,Aug,1998,Wildfire,0,0,CA,1
8/31/1998,Aug,1998,Wildfire,0,1000000,CA,1
8/31/1998,Aug,1998,Wildfire,0,0,CA,1
8/31/1998,Aug,1998,Wildfire,0,4500000,CA,1
8/31/1998,Aug,1998,Wildfire,0,0,CA,1
9/1/1998,Sep,1998,Wildfire,0,0,CA,1
9/1/1998,Sep,1998,Wildfire,0,0,CA,1
10/16/1998,Oct,1998,Wildfire,0,0,CA,1
10/18/1998,Oct,1998,Wildfire,0,0,CA,1
10/20/1998,Oct,1998,Wildfire,0,400000,CA,1
10/20/1998,Oct,1998,Wildfire,0,200000,CA,1
10/21/1998,Oct,1998,Wildfire,0,365000,CA,1
12/9/1998,Dec,1998,Wildfire,0,348000,CA,1
12/9/1998,Dec,1998,Wildfire,0,0,CA,1
12/9/1998,Dec,1998,Wildfire,0,25000,CA,1
1/2/1999,Jan,1999,Wildfire,0,0,CA,1
1/3/1999,Jan,1999,Wildfire,0,0,CA,1
