Year,InterestRate,Unemployment Rate ,HomeOwnRate,Population,MediumIncome,State,HPI
2019,0.043,0.031,0.66,21477737,58368,FL,392.153492063492
2018,0.045,0.036000000000000004,0.655,21244317,55634,FL,369.05587301587303
2017,0.04,0.042,0.6409999999999999,20963613,55365,FL,338.0621875
2016,0.037000000000000005,0.048,0.643,20613477,54521,FL,313.4331249999999
2015,0.039,0.055,0.648,20209042,52687,FL,289.69109374999994
2014,0.042,0.063,0.649,19845911,49876,FL,268.043125
2013,0.04,0.07200000000000001,0.6609999999999999,19545621,53350,FL,248.30578125000005
2012,0.037000000000000005,0.085,0.67,19297822,51395,FL,236.14828125
2011,0.045,0.1,0.69,19053237,51383,FL,242.69984374999993
2010,0.047,0.111,0.693,18845537,51782,FL,259.85078124999995
2009,0.05,0.10400000000000001,0.7090000000000001,18652644,54505,FL,289.92421875
2008,0.06,0.063,0.711,18527305,53394,FL,344.69187500000015
2007,0.063,0.04,0.718,18367842,56604,FL,397.8698437500001
2006,0.064,0.032,0.7240000000000001,18166990,58059,FL,412.04238095238094
2005,0.059000000000000004,0.037000000000000005,0.7240000000000001,17842038,56416,FL,362.0633870967742
2004,0.057999999999999996,0.046,0.722,17415318,54996,FL,289.7743548387097
2003,0.057999999999999996,0.052000000000000005,0.695,17004085,54304,FL,252.21596774193537
2002,0.065,0.055999999999999994,0.687,16689370,54186,FL,239.98549999999997
2001,0.07,0.047,0.6920000000000001,16356966,52720,FL,225.2018644067795
2000,0.081,0.037000000000000005,0.684,16047515,57846,FL,213.66482142857143
1999,0.07400000000000001,0.039,0.6759999999999999,15111244,55153,FL,201.1046428571428
1998,0.069,0.043,0.669,14908230,54878,FL,193.85821428571424
1997,0.076,0.048,0.669,14683350,51711,FL,191.12547169811324
1996,0.078,0.052000000000000005,0.6709999999999999,14426911,49876,FL,186.62019230769224
1995,0.079,0.055,0.6659999999999999,14185403,49707,FL,188.00937499999995
1994,0.084,0.064,0.657,13961798,50133,FL,188.36866666666663
1993,0.073,0.071,0.655,13713593,49880,FL,184.68630434782605
1992,0.084,0.08199999999999999,0.66,13504775,48986,FL,185.0495454545455
1991,0.043,0.075,0.6609999999999999,13289497,50026,FL,189.39224999999996
2019,0.043,0.04,0.6509999999999999,12671821,74399,CA,921.3373684210528
2018,0.045,0.043,0.66,12723071,71416,CA,877.9148275862069
2017,0.04,0.049,0.654,12778828,68801,CA,818.6363793103448
2016,0.037000000000000005,0.057999999999999996,0.653,12820527,65398,CA,773.6947368421054
2015,0.039,0.06,0.654,12858913,65192,CA,704.4074137931033
2014,0.042,0.071,0.664,12884493,59362,CA,662.4520689655171
2013,0.04,0.09,0.672,12895129,59291,CA,579.9724137931033
2012,0.037000000000000005,0.09,0.6679999999999999,12882510,57717,CA,523.8670689655171
2011,0.045,0.09699999999999999,0.684,12867454,57685,CA,527.9263793103448
2010,0.047,0.10400000000000001,0.688,12840503,59610,CA,566.8896551724138
2009,0.05,0.102,0.691,12796778,63152,CA,604.2224137931036
2008,0.06,0.063,0.6890000000000001,12747038,63390,CA,711.3617241379312
2007,0.063,0.05,0.6940000000000001,12695866,64900,CA,857.0606896551725
2006,0.064,0.045,0.7040000000000001,12643955,61866,CA,896.7732758620691
2005,0.059000000000000004,0.057,0.7090000000000001,12609903,63513,CA,824.6129310344826
2004,0.057999999999999996,0.062,0.727,12589773,62515,CA,666.211724137931
2003,0.057999999999999996,0.068,0.7070000000000001,12556006,62917,CA,564.3736206896551
2002,0.065,0.065,0.701,12525556,60864,CA,525.1305263157894
2001,0.07,0.053,0.6940000000000001,12488445,66833,CA,486.22571428571416
2000,0.081,0.043,0.679,12434161,68577,CA,439.17218181818197
1999,0.07400000000000001,0.044000000000000004,0.6709999999999999,12128370,71313,CA,376.6225
1998,0.069,0.044000000000000004,0.68,12069774,67877,CA,355.7555357142857
1997,0.076,0.048,0.6809999999999999,12011509,65777,CA,338.655090909091
1996,0.078,0.053,0.682,11953003,64384,CA,330.6185454545456
1995,0.079,0.052000000000000005,0.664,11884935,63621,CA,329.9859999999999
1994,0.084,0.057999999999999996,0.642,11804986,60036,CA,332.7474545454546
1993,0.073,0.07400000000000001,0.618,11725984,57404,CA,338.24672727272724
1992,0.084,0.079,0.624,11635197,56513,CA,350.10685185185184
1991,0.043,0.073,0.63,11535973,58529,CA,350.5274074074073
